COD,DESC,CANTIDAD,COMPRO,CLIENTES,MESES,PESO,ANCHO,LARGO,ALTO,CD
ROD2200SKF,2200 E-2RS1TN9,123,9,4,8,0.0515,23,45,47,BC1
ROD2201SKF2,2201 ETN9,35,11,3,8,0.0545,23,45,47,CD2
ROD2202SKF2,2202 ETN9,22,10,5,6,0.0591,23,45,47,CC1
ROD2203SKF2,2203 ETN9,2,2,2,1,0.091,23,60,62,CD2
ROD2204SKF3,2204 ETN9,39,18,7,12,0.136,23,60,62,CD1
ROD2205SKF6,2205 ETN9,67,27,20,17,0.1555,29,65,67,CC1
ROD2205SKF7,2205 ETN9/C3,17,2,2,2,0.1542,29,65,67,CD2
ROD2206SKF6,2206 ETN9,138,44,24,25,0.2515,28,76,78,BC1
ROD2207SKF7,2207 ETN9,346,81,44,31,0.4,30,84,86,AB1
ROD2207SKF8,2207 ETN9/C3,11,7,5,7,0.4,30,84,86,CD1
ROD2208SKF7,2208 ETN9,191,67,33,27,0.5,27,94,96,BB1
ROD2208SKF8,2208 ETN9/C3,32,16,10,11,0.5,27,94,96,CD1
ROD2209SKF6,2209 ETN9,70,47,30,20,0.552,27,94,96,BC1
ROD2209SKF7,2209 ETN9/C3,0,2,1,1,0.552,27,94,96,CD9
ROD2210SKF6,2210 ETN9,23,14,12,9,0.58,29,104,106,CC1
ROD2211SKF6,2211 ETN9,7,6,4,5,0.796,31,114,116,CD9
ROD2212SKF4,2212 ETN9,33,26,15,15,1.08,33,124,126,CC1
ROD2213SKF5,2213 ETN9,5,6,4,4,1.409,35,134,136,CD9
ROD2213SKF6,2213 ETN9/C3,4,1,1,1,1.419,35,134,136,OO9
ROD2214SKF,2214,21,8,8,7,1.558,35,134,136,CD1
ROD2215SKF3,2215 ETN9,6,1,1,1,1.57,40,144,146,OO9
ROD2215SKF4,2215 ETN9/C3,5,7,6,6,1.61,40,144,146,CD2
ROD2216SKF3,2216 ETN9,4,4,3,4,1.991,40,144,146,CD2
ROD2205SKF5,2205 EKTN9,29,7,5,6,0.1475,29,65,67,CD1
ROD2206SKF5,2206 EKTN9,14,9,8,7,0.2455,28,76,78,CC1
ROD2207SKF5,2207 EKTN9,53,20,16,15,0.388,30,84,86,CC1
ROD2207SKF6,2207 EKTN9/C3,10,3,3,3,0.388,30,84,86,CD2
ROD2208SKF5,2208 EKTN9,81,36,19,19,0.485,27,94,96,BC1
ROD2208SKF6,2208 EKTN9/C3,2,1,1,1,0.489,27,94,96,CD9
ROD2209SKF4,2209 EKTN9,268,89,38,31,0.536,27,94,96,BB1
ROD2209SKF5,2209 EKTN9/C3,46,29,13,15,0.547,27,94,96,CC1
ROD2210SKF4,2210 EKTN9,80,34,16,20,0.56,29,104,106,BC1
ROD2210SKF5,2210 EKTN9/C3,4,1,1,1,0.566,29,104,106,CD9
ROD2211SKF4,2211 EKTN9,127,58,31,28,0.789,31,114,116,BC1
ROD2211SKF5,2211 EKTN9/C3,10,3,1,3,0.789,31,114,116,CD9
ROD2212SKF2,2212 EKTN9,89,58,13,31,1.066,33,124,126,BC1
ROD2213SKF3,2213 EKTN9,127,71,29,27,1.368,35,134,136,BB1
ROD2213SKF4,2213 EKTN9/C3,27,11,8,9,1.368,35,134,136,CC1
ROD2215SKF,2215 EKTN9,34,17,12,13,1.53,40,144,146,BC1
ROD2215SKF2,2215 EKTN9/C3,9,5,5,4,1.53,40,144,146,CD1
ROD2216SKF,2216 EKTN9,49,25,12,17,1.96,40,144,146,BC1
ROD2217SKF2,2217 K,7,2,2,1,2.524,48,157,161,OO9
ROD2218SKF2,2218 K,7,3,2,3,3.202,47,164,166,CD2
ROD2219SKF,2219 KM,1,1,1,1,4.241,53,177,181,CD9
ROD2220SKF,2220 KM,8,7,2,5,5.11,53,187,191,OO9
ROD2220SKF10,2220 M,2,1,1,1,5.22,53,187,191,CD9
ROD2201SKF,2201 E-2RS1TN9,156,15,8,10,0.0584,23,45,47,CD1
ROD2202SKF,2202 E-2RS1TN9,255,30,10,15,0.064,23,45,47,BC1
ROD2203SKF,2203 E-2RS1TN9,50,17,8,14,0.097,23,60,62,CC1
ROD2204SKF,2204 E-2RS1TN9,184,48,24,25,0.1465,23,60,62,BC1
ROD2205SKF3,2205 E-2RS1TN9,422,89,26,31,0.1665,29,65,67,AB1
ROD2205SKF4,2205 E-2RS1TN9/C3,19,2,2,2,0.1645,29,65,67,CD2
ROD2206SKF3,2206 E-2RS1TN9,263,53,26,33,0.2665,28,76,78,BB1
ROD2207SKF3,2207 E-2RS1TN9,150,59,31,23,0.414,30,84,86,BC1
ROD2207SKF4,2207 E-2RS1TN9/C3,4,2,1,2,0.427,30,84,86,CD9
ROD2208SKF3,2208 E-2RS1TN9,85,29,20,21,0.523,27,94,96,BC1
ROD2209SKF3,2209 E-2RS1TN9,41,18,12,14,0.56,27,94,96,CC1
ROD2210SKF3,2210 E-2RS1TN9,41,13,5,8,0.606,29,104,106,BC1
ROD2211SKF3,2211 E-2RS1TN9,27,9,4,9,0.822,31,114,116,CD1
ROD2212SKF,2212 E-2RS1TN9,14,7,2,5,1.136,33,124,126,CD2
ROD2214SKF2,2214 E-2RS1TN9,25,11,4,11,1.556,35,134,136,CD1
ROD2205SKF,2205 E-2RS1KTN9,10,1,1,1,0.1595,29,65,67,OO9
ROD2206SKF,2206 E-2RS1KTN9,16,4,1,3,0.2575,28,76,78,OO9
ROD2206SKF2,2206 E-2RS1KTN9/C3,3,2,2,2,0.2575,28,76,78,CD2
ROD2207SKF,2207 E-2RS1KTN9,134,22,10,17,0.407,30,84,86,BC1
ROD2207SKF2,2207 E-2RS1KTN9/C3,6,2,1,2,0.407,30,84,86,CD9
ROD2208SKF,2208 E-2RS1KTN9,14,2,2,2,0.519,27,94,96,CD9
ROD2208SKF2,2208 E-2RS1KTN9/C3,18,5,4,5,0.519,27,94,96,CD2
ROD2209SKF,2209 E-2RS1KTN9,59,27,11,16,0.5378,27,94,96,CC1
ROD2210SKF,2210 E-2RS1KTN9,26,11,7,10,0.593,29,104,106,CD1
ROD2211SKF,2211 E-2RS1KTN9,7,6,5,5,0.815,31,114,116,CD1
ROD2305SKF2,2305 ETN9,10,7,3,5,0.3185,28,76,78,CD2
ROD2305SKF4,2305 M,8,4,2,4,0.3685,28,76,78,CD2
ROD2305SKF5,2305 M/P6,11,9,2,7,0.3701,28,76,78,CD1
ROD2306SKF,2306,8,7,5,7,0.519,37,94,96,CD2
ROD2307SKF6,2307 ETN9,37,19,13,13,0.6785,37,94,96,CC1
ROD2307SKF7,2307 ETN9/C3,4,1,1,1,0.6785,37,94,96,OO9
ROD2307SKF4,2307 EM,4,3,2,3,0.777,37,94,96,CD9
ROD2308SKF4,2308 EM,39,16,4,12,1.024,40,104,106,CD1
ROD2308SKF5,2308 EM/P6,10,4,2,4,1.018,40,104,106,CD2
ROD2308SKF6,2308 ETN9,54,33,19,16,0.908,40,104,106,BC1
ROD2309SKF4,2309 EM,36,20,8,16,1.355,44,114,116,BC1
ROD2309SKF6,2309 ETN9,28,19,12,12,1.246,44,114,116,CC1
ROD2309SKF7,2309 ETN9/C3,2,1,1,1,1.236,44,114,116,OO9
ROD2309SKF9,2309 M/VQ335,2,3,1,1,1.406,44,114,116,CD9
ROD2310SKF,2310,30,20,13,14,1.662,50,124,126,BC1
ROD2310SKF6,2310/C3,8,5,3,5,1.662,50,124,126,CD2
ROD2312SKF,2312,12,10,6,9,2.654,53,134,136,CC1
ROD2313SKF,2313,23,6,2,5,3.281,58,147,151,BD1
ROD2315SKF,2315,4,2,1,2,4.935,65,167,171,OO9
ROD2315SKF5,2315/C3,5,2,2,2,4.935,65,167,171,CD9
ROD2306SKF4,2306 K/C3,9,2,1,2,0.502,37,94,96,OO9
ROD2307SKF2,2307 EKTN9,2,1,1,1,0.661,37,94,96,CD9
ROD2308SKF2,2308 EKTN9,7,2,2,2,0.886,40,104,106,CD9
ROD2308SKF3,2308 EKTN9/C3,6,1,1,1,0.896,40,104,106,CD9
ROD2310SKF3,2310 K,14,8,4,5,1.647,50,124,126,CD2
ROD2310SKF4,2310 K/C3,5,3,2,3,1.647,50,124,126,CD2
ROD2311SKF2,2311 K,7,4,3,4,2.094,53,134,136,CD2
ROD2312SKF2,2312 K,8,2,2,2,2.604,53,134,136,CD9
ROD2312SKF3,2312 K/C3,-1,1,1,1,2.584,53,134,136,OO9
ROD2313SKF2,2313 K,88,35,7,16,3.227,58,147,151,BD1
ROD2313SKF3,2313 K/C3,4,2,2,2,3.227,58,147,151,CD2
ROD2315SKF2,2315 K,44,27,5,16,4.764,65,167,171,BD1
ROD2316SKF,2316 K/C3,1,1,1,1,5.688,62,174,176,OO9
ROD2317SKF,2317 KM,7,3,1,3,7.261,67,187,191,OO9
ROD2317SKF2,2317 KM/C3,14,10,2,7,7.261,67,187,191,CD9
ROD2304SKF,2304 E-2RS1TN9,2,2,2,1,0.2105,29,65,67,CD2
ROD2305SKF,2305 E-2RS1TN9,133,24,10,14,0.3535,28,76,78,BC1
ROD2306SKF2,2306 E-2RS1TN9,87,23,7,14,0.543,37,94,96,BC1
ROD2307SKF,2307 E-2RS1TN9,6,3,2,3,0.716,37,94,96,CD9
ROD2308SKF,2308 E-2RS1TN9,27,10,5,8,0.944,40,104,106,CC1
ROD2309SKF,2309 E-2RS1TN9,4,2,1,2,1.271,44,114,116,CD9
ROD2310SKF2,2310 E-2RS1TN9,20,17,12,14,1.697,50,124,126,CC1
ROD1200SKF,1200 ETN9,36,11,8,9,0.0348,17,45,47,CD1
ROD1201SKF,1201 ETN9,23,10,8,7,0.0438,23,45,47,CD9
ROD1202SKF,1202 ETN9,52,29,13,20,0.052,13,80,80,CC1
ROD1203SKF2,1203 ETN9,40,17,14,15,0.075,20,60,62,CC1
ROD1204SKF3,1204 ETN9,231,52,23,27,0.119,20,60,62,BC1
ROD1205SKF3,1205 ETN9,656,146,68,36,0.1404,22,65,67,AB1
ROD1205SKF4,1205 ETN9/C3,66,11,4,8,0.1444,22,65,67,CC1
ROD1206SKF4,1206 ETN9,651,165,82,36,0.228,23,76,78,AB1
ROD1206SKF5,1206 ETN9/C3,30,18,12,12,0.228,23,76,78,CC1
ROD1207SKF4,1207 ETN9,204,86,48,34,0.326,25,84,86,BB1
ROD1207SKF5,1207 ETN9/C3,5,4,4,4,0.326,25,84,86,CD1
ROD1208SKF4,1208 ETN9,151,75,41,28,0.425,27,94,96,BB1
ROD1208SKF5,1208 ETN9/C3,22,11,9,8,0.424,27,94,96,CD1
ROD1209SKF3,1209 ETN9,177,85,49,33,0.471,27,94,96,BB1
ROD1210SKF3,1210 ETN9,113,41,30,23,0.529,29,104,106,BB1
ROD1211SKF3,1211 ETN9,64,37,20,23,0.715,26,114,116,BC1
ROD1211SKF4,1211 ETN9/C3,69,21,6,13,0.715,26,114,116,BC1
ROD1212SKF3,1212 ETN9,54,23,14,16,0.91,28,124,126,BC1
ROD1213SKF3,1213 ETN9,28,21,8,13,1.146,29,134,136,CC1
ROD1213SKF4,1213 ETN9/C3,3,1,1,1,1.146,29,134,136,CD9
ROD1214SKF,1214 ETN9,20,12,4,7,1.262,29,134,136,BD1
ROD1215SKF,1215,3,2,1,2,1.35,32,144,146,OO9
ROD1218SKF,1218,1,1,1,1,2.548,34,164,166,CD9
ROD1218SKF4,1218/C5,7,4,1,3,2.538,34,164,166,BD9
ROD1220SKF,1220,5,3,3,3,3.81,38,184,186,CD2
ROD1205SKF,1205 EKTN9,26,15,9,11,0.1339,22,65,67,CC1
ROD1206SKF,1206 EKTN9,252,54,26,26,0.221,23,76,78,BC1
ROD1207SKF,1207 EKTN9,405,121,46,34,0.32,25,84,86,AB1
ROD1207SKF3,1207 EKTN9/C3,9,6,4,5,0.32,25,84,86,CD2
ROD1207SKF2,1207 EKTN9 + H 207,5,1,1,1,,,,,OO9
ROD1208SKF,1208 EKTN9,565,164,70,35,0.424,27,94,96,AB1
ROD1208SKF3,1208 EKTN9/C3,28,9,7,6,0.424,27,94,96,CD2
ROD1209SKF,1209 EKTN9,590,165,61,36,0.47,27,94,96,AB1
ROD1209SKF2,1209 EKTN9/C3,35,21,18,15,0.47,27,94,96,CC1
ROD1210SKF,1210 EKTN9,352,129,51,33,0.516,29,104,106,AB1
ROD1210SKF2,1210 EKTN9/C3,30,20,8,14,0.516,29,104,106,CC1
ROD1211SKF,1211 EKTN9,615,141,51,34,0.6942,26,114,116,AB1
ROD1211SKF2,1211 EKTN9/C3,71,16,6,8,0.702,26,114,116,BC1
ROD1212SKF,1212 EKTN9,117,47,23,23,0.907,28,124,126,BC1
ROD1212SKF2,1212 EKTN9/C3,10,8,6,5,0.897,28,124,126,CD1
ROD1213SKF,1213 EKTN9,186,81,38,30,1.136,29,134,136,BB1
ROD1213SKF2,1213 EKTN9/C3,27,12,7,9,1.136,29,134,136,CC1
ROD1215SKF2,1215 K,21,19,11,9,1.353,32,144,146,BC1
ROD1215SKF3,1215 K/C3,56,20,9,12,1.354,32,144,146,BD1
ROD1216SKF2,1216 K,8,6,4,5,1.668,32,144,146,CD2
ROD1216SKF3,1216 K/C3,6,7,3,5,1.684,32,144,146,CD2
ROD1217SKF2,1217 K,114,55,11,26,2.06,32,154,156,AC1
ROD1218SKF2,1218 K,15,10,9,7,2.518,34,164,166,BD1
ROD1220SKF2,1220 K,1,1,1,1,3.725,38,184,186,OO9
ROD1222SKF2,1222 K,4,2,1,2,5.155,53,210,215,CD9
ROD1303SKF2,1303 ETN9,2,1,1,1,0.128,20,60,62,OO9
ROD1304SKF,1304 ETN9,44,10,9,9,0.1644,22,65,67,CD1
ROD1305SKF2,1305 ETN9,120,41,25,23,0.266,23,76,78,CC1
ROD1306SKF3,1306 ETN9,161,60,30,29,0.4,25,84,86,BC1
ROD1306SKF4,1306 ETN9/C3,3,3,2,3,0.397,25,84,86,CD2
ROD1307SKF3,1307 ETN9,88,47,29,27,0.516,27,94,96,BB1
ROD1307SKF4,1307 ETN9/C3,28,10,3,8,0.529,27,94,96,CC1
ROD1308SKF4,1308 ETN9,130,50,29,27,0.704,29,104,106,BC1
ROD1309SKF3,1309 ETN9,45,26,17,14,0.957,31,114,116,BC1
ROD1310SKF3,1310 ETN9,31,21,16,17,1.216,33,124,126,BC1
ROD1311SKF3,1311 ETN9,84,33,7,19,1.558,35,134,136,CD1
ROD1311SKF4,1311 ETN9/C3,6,4,4,4,1.578,35,134,136,CD9
ROD1312SKF3,1312 ETN9,50,4,2,4,1.98,40,144,146,BD2
ROD1313SKF3,1313 ETN9,10,6,3,5,2.44,40,144,146,CD1
ROD1306SKF,1306 EKTN9,3,2,2,2,0.394,25,84,86,CD2
ROD1307SKF,1307 EKTN9,2,3,2,3,0.519,27,94,96,CD9
ROD1308SKF,1308 EKTN9,30,13,5,8,0.695,29,104,106,BC1
ROD1308SKF2,1308 EKTN9/C3,12,3,2,3,0.694,29,104,106,CD2
ROD1309SKF,1309 EKTN9,68,27,14,15,0.9305,31,114,116,BC1
ROD1309SKF2,1309 EKTN9/C3,4,5,2,3,0.942,31,114,116,CD2
ROD1310SKF,1310 EKTN9,44,12,4,8,1.196,33,124,126,BC1
ROD1310SKF2,1310 EKTN9/C3,20,10,2,9,1.186,33,124,126,CD1
ROD1311SKF,1311 EKTN9,52,29,19,19,1.543,35,134,136,BC1
ROD1311SKF2,1311 EKTN9/C3,10,5,5,5,1.543,35,134,136,CD2
ROD1312SKF,1312 EKTN9,28,13,7,10,1.95,40,144,146,BC1
ROD1312SKF2,1312 EKTN9/C3,1,1,1,1,1.95,40,144,146,OO9
ROD1313SKF,1313 EKTN9,33,13,7,11,2.415,40,144,146,BD1
ROD1315SKF2,1315 K,9,5,4,5,3.569,44,167,171,CD9
ROD1316SKF2,1316 K,4,3,2,2,4.16,43,174,176,OO9
ROD1316SKF3,1316 K/C3,2,1,1,1,4.149,43,174,176,CD9
ROD1317SKF,1317 K,4,1,1,1,4.956,45,184,186,CD9
ROD1318SKF,1318 K,7,5,2,5,5.808,53,200,205,CD2
ROD1319SKF,1319 K,5,1,1,1,6.712,58,210,215,BD9
ROD1320SKF2,1320 K,15,13,1,8,8.286,58,230,235,OO9
ROD5012SKF,VKC 5012,2,2,2,2,0.233,22,76,76,OO9
ROD3584SKF2,VKC 3584,3,3,3,3,0.238,47,82,83,CD2
ROD3626SKF,VKC 3626,1,1,1,1,0.336,64,95,97,OO9
ROD5006SKF2,VKC 5006,94,65,28,25,0.527,37,76,76,CB1
ROD5052SKF,VKC 5052 H,175,109,52,35,0.318,72,72,36,BB1
ROD4008SKF,N4008-SA,2,2,2,2,0.2699,47,88,88,CD9
ROD4628SKF,VKC 4628 A,12,11,7,8,2.18,1,110,110,CD1
ROD4629SKF,VKC 4629 A,6,8,6,6,1.033,1,92,92,CD2
ROD4709SKF,VKC 4709 A,14,11,6,7,2.05,1,100,100,CC1
ROD4711SKF,VKC 4711 A,32,29,16,19,0.988,1,126,126,BC1
ROD5003SKF,VKC 5003,120,89,47,33,0.69,41,83,83,BB1
ROD5021SKF,VKC 5021,14,15,13,9,0.448,22,97,97,CD2
ROD5007SKF2,VKC 5007,106,83,36,30,0.466,54,64,64,CB1
ROD5060SKF,VKC 5060,21,20,15,15,0.801,55,92,92,CC1
ROD2039SKF,VKC 2039,7,4,4,4,0.292,33,93,93,CD2
ROD5002SKF,VKC 5002,697,330,117,36,0.338,22,93,93,AB1
ROD5061SKF,VKC 5061,27,25,17,12,0.779,55,92,92,CC1
ROD5009SKF,VKC 5009,11,11,11,10,0.28,21,83,83,CD2
ROD2176SKF,VKC 2176 H,1,1,1,1,0.67,118,132,42,OO9
ROD5011SKF,VKC 5011,3,3,3,3,0.275,21,84,84,CD2
ROD2051SKF,VKC 2051,28,19,10,15,0.175,49,76,78,CC1
ROD2169SKF,VKC 2169 H,423,147,55,34,0.23,65,95,97,BB1
ROD5169SKF,VKC 5169,30,22,17,15,0.392,72,109,47,CC1
ROD2054SKF,VKC 2054,1,1,1,1,0.263,49,76,78,CD9
ROD2151SKF,VKC 2151,1,3,2,2,0.2258,64,95,97,CD9
ROD5014SKF3,VKC 5014,6,6,4,5,0.232,26,72,72,CD2
ROD5025SKF2,VKC 5025,1,1,1,1,0.25,26,72,72,CD9
ROD5045SKF,VKC 5045,12,9,6,8,0.272,36,72,72,CD2
ROD5008SKF2,VKC 5008,15,11,6,10,0.433,48,72,72,CD2
ROD2130SKF,VKC 2130,25,15,8,12,0.254,64,95,97,CD1
ROD2044SKF,VKC 2044,367,175,79,34,0.4,85,85,25,BB1
ROD306775SKF,306775 B,9,13,11,11,0.539,32,94,96,CD1
ROD2089SKF,VKC 2089,5,4,4,4,0.707,49,95,95,OO9
ROD4651SKF,VKC 4651 A,24,23,11,15,0.646,1,92,92,CC1
ROD2062SKF,VKC 2062,1,1,1,1,0.59,118,132,42,CD9
ROD2155SKF,VKC 2155,1,1,1,1,0.656,118,132,42,OO9
ROD2077SKF,VKC 2077,7,7,5,6,0.7,118,132,42,CD1
ROD5033SKF,VKC 5033 H,1,1,1,1,0.688,34,104,104,OO9
ROD5063SKF,VKC 5063 A,1,1,1,1,1.24,90,125,115,OO9
ROD2068SKF,VKC 2068,1,1,1,1,0.44,64,95,97,CD9
ROD5261SKF,VKC 5261 H,1,5,3,4,1.292,23,76,78,CD2
ROD5260SKF,VKC 5260 H,9,11,7,8,0.882,23,76,78,CD1
ROD5062SKF,VKC 5062,175,135,52,35,0.871,54,96,96,BB1
ROD3554SKF,VKC 3554,10,7,6,5,0.2,49,76,78,CD9
ROD3600SKF2,VKC 3600,5,5,4,5,0.3511,64,95,97,CD9
ROD4093SKF2,N4093,4,4,4,3,0.4831,64,83,83,CD2
ROD3675SKF,VKC 3675,10,12,9,11,0.135,38,83,83,CD1
ROD3672SKF,VKC 3672,2,1,1,1,0.402,64,95,97,CD9
ROD3672SKF2,VKC 3672 A,751,399,136,34,0.26,98,94,62,AB1
ROD3673SKF,VKC 3673,1,1,1,1,0.145,38,83,83,CD9
ROD3623SKF,VKC 3623,1,1,1,1,0.173,64,95,97,CD9
ROD3502SKF,VKC 3502,5,4,4,4,0.2115,49,76,78,CD2
ROD3500SKF2,VKC 3500,18,16,9,12,0.297,49,76,78,CC1
ROD3606SKF,VKC 3606,11,10,7,10,0.303,38,83,83,CD1
ROD3511SKF,VKC 3511,3,3,2,3,0.229,49,76,78,CD2
ROD3622SKF,VKC 3622,34,33,21,22,0.2695,52,82,82,BC1
ROD3509SKF,VKC 3509,1,3,2,2,0.112,49,76,78,OO9
ROD3505SKF,VKC 3505,2,2,2,2,0.192,49,76,78,CD9
ROD3578SKF2,VKC 3578,3,3,3,3,0.158,38,83,83,CD2
ROD2538SKF,VKC 2538,4,4,3,3,0.167,49,76,78,CD2
ROD3615SKF,VKC 3615,5,9,7,7,0.342,64,95,97,CD1
ROD3579SKF,VKC 3579,62,53,24,30,0.3937,52,82,82,CB1
ROD3628SKF,VKC 3628,232,132,51,34,0.328,52,82,82,AB1
ROD3616SKF,VKC 3616,3,3,2,3,0.365,64,95,97,CD2
ROD3559SKF,VKC 3559,4,4,4,4,0.41,64,95,97,CD2
ROD3581SKF,VKC 3581,27,28,21,20,0.2922,52,82,82,BC1
ROD3564SKF,VKC 3564,3,3,3,3,0.233,64,95,97,CD2
ROD3577SKF,VKC 3577,10,10,9,10,0.285,64,95,97,CD1
ROD3654SKF,VKC 3654,16,18,10,13,0.27,64,95,97,CC1
ROD3515SKF,VKC 3515,10,10,10,9,0.271,64,95,97,CD1
ROD3666SKF,VKC 3666,3,3,3,3,0.148,64,95,97,CD9
ROD3507SKF,VKC 3507,15,17,11,13,0.356,64,95,97,CD1
ROD3552SKF4,VKC 3552,1,1,1,1,0.404,47,82,83,OO9
ROD2091SKF,VKC 2091 H,810,351,121,36,0.25,25,89,89,AB1
ROD2098SKF,VKC 2098,1,1,1,1,0.855,29,119,119,OO9
ROD2189SKF,VKC 2189 H,114,52,22,27,0.25,73,85,49,CB1
ROD2191SKF,VKC 2191 H,1021,308,97,36,0.09,60,60,35,AB1
ROD2433SKF,VKC 2433,1,1,1,1,0.0923,49,76,78,CD9
ROD2433SKF2,VKC 2433 H,1125,385,119,36,0.093,49,76,78,AB1
ROD2190SKF,VKC 2190,4,3,2,3,0.281,64,95,97,CD9
ROD2144SKF,VKC 2144,21,20,12,16,0.14,49,76,78,CC1
ROD307438SKF,307438 A,14,12,12,10,0.773,32,144,146,BC1
ROD30302SKF,30302 J2,9,4,4,4,0.0938,23,55,57,CD2
ROD30303SKF,30303 J2,81,32,17,18,0.1298,23,55,57,CC1
ROD30304SKF,30304,651,101,44,35,0.1704,22,65,67,BB1
ROD30305SKF,30305,275,105,62,34,0.2568,22,65,67,BB1
ROD30306SKF,30306 J2/Q,345,157,93,35,0.3895,28,76,78,BB1
ROD30307SKF,30307,526,158,80,34,0.527,30,84,86,AB1
ROD30308SKF,30308,363,176,94,36,0.751,32,94,96,BB1
ROD30309SKF,30309 J2/Q,348,191,87,36,1.001,34,104,106,AB1
ROD588SKF,BT1-0588,36,24,12,11,1.0398,34,104,106,CD1
ROD30310SKF,30310 J2/Q,187,98,56,32,1.281,34,114,116,BB1
ROD30311SKF,30311,171,66,42,30,1.6,39,124,126,AB1
ROD30311PEE,PER.30311,3,1,1,1,1.665,143,143,38,OO9
ROD30312SKF,30312 J2/Q,136,70,44,31,1.993,39,134,136,AB1
ROD30313SKF,30313,49,29,11,16,2.4,40,144,146,BC1
ROD30314SKF,30314,22,13,8,10,2.988,45,154,156,CD1
ROD30315SKF,30315 J2,27,26,9,15,3.528,47,164,166,BC1
ROD30316SKF,30316 J2,9,5,4,5,4.2,53,177,181,CD2
ROD30317SKF,30317 J2,4,10,5,6,4.8714,52,184,184,CD2
ROD30318SKF,30318 J2,4,3,2,2,5.761,218,218,56,CD9
ROD30319SKF,30319,22,7,4,7,6.594,220,225,57,AD2
ROD30320SKF,30320 J2,62,17,3,11,8.111,240,245,58,AC1
ROD30322SKF,30322 J2,3,1,1,1,10.88,268,268,69,OO9
ROD31305SKF,31305,67,28,17,18,0.2744,22,65,67,CC1
ROD31306SKF,31306,52,15,12,12,0.3917,28,76,78,CC1
ROD31307SKF2,31307 J2/Q,60,30,16,21,0.539,30,84,86,CC1
ROD31308SKF2,31308 J2/QCL7C,73,28,23,19,0.737,32,94,96,BC1
ROD31309SKF,31309 J2/QCL7C,56,33,22,23,0.974,34,104,106,BC1
ROD31310SKF,31310 J2/QCL7C,13,15,10,10,1.249,34,114,116,CD1
ROD31311SKF,31311 J2/Q,27,15,10,12,1.55,39,124,126,BC1
ROD31312SKF2,31312,33,19,14,13,1.97,39,134,136,BC1
ROD31313SKF,31313 J2/QCL7C,32,30,13,20,2.3682,45,144,146,BC1
ROD31314SKF,31314 J2/QCL7A,28,20,9,13,2.927,45,154,156,BC1
ROD31315SKF,31315 J2,1,1,1,1,3.459,47,164,166,CD9
ROD31316SKF,31316 J1/QCL7A,6,5,4,4,4.016,51,178,175,CD2
ROD32303SKF,32303 J2,4,2,2,2,0.1785,29,65,67,CD9
ROD32304SKF,32304,32,21,16,16,0.2375,29,65,67,CC1
ROD32305SKF,32305 J2,46,19,10,15,0.3685,29,65,67,CC1
ROD32306SKF,32306,99,52,42,26,0.571,34,76,78,BC1
ROD32307SKF,32307 J2/Q,194,72,50,33,0.767,39,84,86,BB1
ROD32308SKF,32308,155,70,39,32,1.064,40,104,106,BB1
ROD32309SKF,32309 J2/Q,147,82,57,29,1.414,44,104,106,BB1
ROD592SKF2,BT1-0592,19,13,11,12,1.43,44,104,106,CC1
ROD32310SKF,32310 BJ2/QCL7C,4,2,1,1,1.988,49,114,116,CD9
ROD32310SKF2,32310,202,118,62,33,1.855,49,114,116,AB1
ROD32311SKF2,32311 J2,191,103,51,31,2.348,50,124,126,AB1
ROD32312SKF,32312 BJ2/QCL7C,0,2,1,2,3.119,53,134,136,CD9
ROD32312SKF2,32312 J2/Q,193,95,57,33,2.954,53,134,136,AB1
ROD32313SKF,32313,56,28,18,16,3.521,55,144,146,BC1
ROD32314SKF2,32314,48,30,15,17,4.261,60,154,158,BC1
ROD32315SKF,32315,47,30,16,21,5.288,62,164,166,BC1
ROD32316SKF2,32316 J2,19,10,6,7,6.347,198,198,72,CD2
ROD32317SKF2,32317 J2,27,24,10,12,7.024,208,208,76,CD1
ROD32318SKF,32318 J2,13,7,4,7,8.591,218,218,76,OO9
ROD32319SKF,32319 J2,2,1,1,1,9.72,228,228,77,OO9
ROD32320SKF,32320 J2,0,2,1,1,12.696,240,245,84,BD9
ROD32322SKF,32322,2,1,1,1,16.668,260,265,91,OO9
ROD32915SKF,32915 TN9/QVG900,1,1,1,1,0.507,26,114,116,OO9
ROD32004SKF,32004 X/Q,87,25,19,19,0.1008,23,55,57,CC1
ROD32005SKF,32005 X/Q,4,1,1,1,0.1132,21,54,54,CD9
ROD32005SKF2,32005 X/QVB015,507,244,95,35,0.1176,21,54,54,BB1
ROD32005PEE,PER.32005X,94,64,16,24,0.118,64,64,19,CB1
ROD32006SKF,32006 X,557,129,65,36,0.1744,22,65,67,BB1
ROD32006PEE,PER.32006X,171,19,8,14,0.17,64,64,19,CC1
ROD32007SKF,32007 J2/Q,220,107,61,33,0.234,20,64,64,BB1
ROD32007SKF2,32007 X/Q,263,114,67,33,0.2295,29,65,67,BB1
ROD32007SKF3,32007 X/QVB003,142,81,34,34,0.2274,22,65,67,BB1
ROD32007PEE,PER.32007X,41,25,11,15,0.239,79,79,22,CC1
ROD32008SKF,32008 X,646,272,121,36,0.283,23,76,78,AB1
ROD32008PEE,PER.32008X,40,20,13,15,0.284,79,79,22,CC1
ROD32009SKF2,32009 X/QVK210,378,177,96,36,0.343,45,82,82,AB1
